Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
  114       0.0004       0.0151       0.0005       0.0001  3.7460
  115       0.0004       0.0148       0.0005       0.0001  4.1880
  116       0.0004       0.0141       0.0005       0.0001  3.7906
  117       0.0004       0.0141       0.0005       0.0001  3.8255
  118       0.0005       0.0132       0.0005       0.0001  3.9261
  119       0.0005       0.0134       0.0005       0.0001  3.8510
  120       0.0005       0.0136       0.0005       0.0001  3.9144
  121       0.0005       0.0134       0.0005       0.0001  3.9813
  122       0.0005       0.0135       0.0005       0.0001  3.8249
  123       0.0005       0.0128       0.0005       0.0001  3.8171
  124       0.0005       0.0134       0.0005       0.0001  3.8023
  125       0.0005       0.0131       0.0005       0.0001  3.7808
  126       0.0004       0.0131       0.0005       0.0001  4.2962
  127       0.0005       0.0127       0.0005       0.0001  4.0434
  128       0.0005       0.0126       0.0005       0.0001  4.0670
  129       0.0005       0.0128       0.0005       0.0001  3.9843
  130       0.0004       0.0135       0.0005       0.0001  4.2561
  131       0.0005       0.0132       0.0005       0.0001  3.8763
  132       0.0004       0.0138       0.0005       0.0001  3.9458
  133       0.0004       0.0139       0.0004       0.0001  3.9148
  134       0.0004       0.0138       0.0004       0.0001  3.8667
  135       0.0004       0.0131       0.0004       0.0001  3.9073
  136       0.0005       0.0129       0.0004       0.0001  3.9021
  137       0.0005       0.0129       0.0004       0.0001  3.8318
  138       0.0005       0.0131       0.0004       0.0001  3.8761
  139       0.0005       0.0124       0.0004       0.0001  4.0417
  140       0.0005       0.0121       0.0004       0.0001  3.9446
  141       0.0006       0.0120       0.0004       0.0001  4.0932
  142       0.0006       0.0120       0.0004       0.0001  4.0769
  143       0.0005       0.0121       0.0004       0.0001  4.1060
  144       0.0006       0.0122       0.0004       0.0001  4.0140
  145       0.0006       0.0129       0.0004       0.0001  4.1638
  146       0.0006       0.0126       0.0004       0.0001  3.8045
  147       0.0006       0.0126       0.0004       0.0001  4.0326
  148       0.0006       0.0131       0.0004       0.0001  3.7810
  149       0.0006       0.0129       0.0004       0.0001  3.9430
  150       0.0006       0.0135       0.0004       0.0001  3.9250
  151       0.0006       0.0133       0.0003       0.0001  3.9564
  152       0.0006       0.0132       0.0003       0.0001  3.9898
  153       0.0006       0.0130       0.0003       0.0001  3.8628
  154       0.0006       0.0134       0.0003       0.0001  3.5566
  155       0.0005       0.0132       0.0003       0.0001  4.0470
  156       0.0005       0.0130       0.0003       0.0001  4.2946
  157       0.0005       0.0128       0.0003       0.0001  4.0055
  158       0.0005       0.0120       0.0003       0.0001  3.9620
  159       0.0006       0.0123       0.0003       0.0001  3.9749
  160       0.0005       0.0115       0.0003       0.0001  4.2512
  161       0.0005       0.0108       0.0003       0.0000  4.2441
  162       0.0005       0.0106       0.0003       0.0000  4.1101
  163       0.0005       0.0109       0.0003       0.0000  3.9824
  164       0.0005       0.0110       0.0003       0.0001  3.7959
  165       0.0005       0.0107       0.0003       0.0000  3.8509
  166       0.0005       0.0102       0.0003       0.0000  4.0645
  167       0.0005       0.0099       0.0003       0.0000  4.0902
  168       0.0005       0.0097       0.0003       0.0000  3.9910
  169       0.0005       0.0093       0.0003       0.0000  3.9487
  170       0.0005       0.0090       0.0003       0.0000  3.8093
  171       0.0005       0.0091       0.0003       0.0000  4.0593
  172       0.0005       0.0091       0.0003       0.0000  3.7792
  173       0.0005       0.0090       0.0003       0.0000  4.1768
  174       0.0005       0.0095       0.0003       0.0000  3.8802
  175       0.0005       0.0094       0.0003       0.0000  4.0215
  176       0.0005       0.0093       0.0003       0.0000  3.7818
  177       0.0005       0.0087       0.0003       0.0000  3.8689
  178       0.0005       0.0086       0.0003       0.0000  3.9281
  179       0.0005       0.0085       0.0002       0.0000  4.0112
  180       0.0005       0.0082       0.0002       0.0000  3.9487
  181       0.0005       0.0085       0.0002       0.0000  3.7991
  182       0.0005       0.0086       0.0002       0.0000  4.2281
  183       0.0005       0.0085       0.0002       0.0000  4.0878
  184       0.0005       0.0086       0.0002       0.0000  3.9666
  185       0.0005       0.0087       0.0002       0.0000  3.8623
  186       0.0005       0.0087       0.0002       0.0000  3.7805
  187       0.0005       0.0087       0.0002       0.0000  3.7738
  188       0.0005       0.0088       0.0002       0.0000  4.2166
  189       0.0005       0.0084       0.0002       0.0000  3.8213
  190       0.0005       0.0084       0.0002       0.0000  3.8779
  191       0.0005       0.0082       0.0002       0.0000  3.9380
  192       0.0005       0.0082       0.0002       0.0000  3.8017
  193       0.0005       0.0083       0.0002       0.0000  3.8685
  194       0.0005       0.0083       0.0002       0.0000  3.8794
  195       0.0005       0.0080       0.0002       0.0000  3.8371
  196       0.0005       0.0079       0.0002       0.0000  3.8822
  197       0.0004       0.0082       0.0002       0.0000  3.9845
  198       0.0005       0.0083       0.0002       0.0000  3.9586
  199       0.0005       0.0086       0.0002       0.0000  4.2899
  200       0.0005       0.0086       0.0002       0.0000  4.1208
  201       0.0005       0.0085       0.0002       0.0000  4.0124
  202       0.0005       0.0085       0.0002       0.0000  3.9107
  203       0.0005       0.0086       0.0002       0.0000  4.2927
  204       0.0005       0.0088       0.0002       0.0000  4.0148
  205       0.0005       0.0089       0.0002       0.0000  3.7695
  206       0.0005       0.0088       0.0002       0.0000  3.7517
  207       0.0005       0.0087       0.0002       0.0000  3.9198
  208       0.0005       0.0086       0.0002       0.0000  4.0008
  209       0.0005       0.0086       0.0002       0.0000  3.9396
  210       0.0005       0.0083       0.0002       0.0000  3.8356
  211       0.0005       0.0082       0.0002       0.0000  3.9444
  212       0.0005       0.0080       0.0002       0.0000  4.1137
  213       0.0005       0.0080       0.0002       0.0000  4.1031
  214       0.0005       0.0081       0.0002       0.0000  4.4094
  215       0.0005       0.0081       0.0002       0.0000  4.2241
  216       0.0005       0.0080       0.0002       0.0000  4.1004
  217       0.0005       0.0079       0.0002       0.0000  3.9085
  218       0.0005       0.0079       0.0002       0.0000  3.9117
  219       0.0005       0.0077       0.0002       0.0000  3.9225
  220       0.0005       0.0075       0.0002       0.0000  3.9796
  221       0.0005       0.0075       0.0002       0.0000  3.8611
  222       0.0005       0.0077       0.0002       0.0000  3.9780
  223       0.0005       0.0079       0.0002       0.0000  3.9418
  224       0.0005       0.0080       0.0002       0.0000  3.8428
  225       0.0005       0.0078       0.0002       0.0000  4.1061
