Epoch   EnergyRMSE    ForceRMSE    TrainLoss    ValidLoss     Dur
===== ============ ============ ============ ============ =======
  131       0.0005       0.0160       0.0005       0.0001  3.8670
  132       0.0005       0.0154       0.0005       0.0001  3.9697
  133       0.0005       0.0146       0.0005       0.0001  3.9061
  134       0.0005       0.0141       0.0005       0.0001  3.6928
  135       0.0005       0.0139       0.0004       0.0001  4.0028
  136       0.0005       0.0133       0.0004       0.0001  3.7800
  137       0.0005       0.0126       0.0004       0.0001  3.7779
  138       0.0005       0.0133       0.0004       0.0001  3.9526
  139       0.0005       0.0143       0.0004       0.0001  3.8972
  140       0.0006       0.0153       0.0004       0.0001  3.7329
  141       0.0006       0.0149       0.0004       0.0001  3.8978
  142       0.0005       0.0147       0.0004       0.0001  3.8181
  143       0.0006       0.0149       0.0004       0.0001  3.8904
  144       0.0006       0.0144       0.0004       0.0001  3.8329
  145       0.0006       0.0147       0.0004       0.0001  4.0025
  146       0.0006       0.0147       0.0004       0.0001  3.7766
  147       0.0006       0.0146       0.0004       0.0001  3.9268
  148       0.0006       0.0152       0.0003       0.0001  3.8391
  149       0.0006       0.0168       0.0003       0.0001  3.7426
  150       0.0006       0.0184       0.0003       0.0001  3.8379
  151       0.0007       0.0185       0.0003       0.0001  3.8532
  152       0.0007       0.0188       0.0003       0.0001  3.8429
  153       0.0006       0.0182       0.0003       0.0001  3.9561
  154       0.0007       0.0194       0.0003       0.0002  3.8461
  155       0.0006       0.0174       0.0003       0.0001  4.0894
  156       0.0006       0.0180       0.0003       0.0001  3.9865
  157       0.0006       0.0174       0.0003       0.0001  3.7294
  158       0.0006       0.0166       0.0003       0.0001  3.8426
  159       0.0006       0.0154       0.0003       0.0001  3.8244
  160       0.0006       0.0157       0.0003       0.0001  3.7598
  161       0.0006       0.0138       0.0003       0.0001  4.0424
  162       0.0006       0.0136       0.0003       0.0001  3.9348
  163       0.0006       0.0148       0.0003       0.0001  3.8302
  164       0.0006       0.0146       0.0003       0.0001  4.2767
  165       0.0006       0.0144       0.0003       0.0001  3.9599
  166       0.0006       0.0144       0.0003       0.0001  3.9943
  167       0.0006       0.0138       0.0003       0.0001  3.9307
  168       0.0006       0.0145       0.0003       0.0001  3.8776
  169       0.0006       0.0150       0.0003       0.0001  4.0905
  170       0.0006       0.0151       0.0003       0.0001  3.9166
  171       0.0006       0.0148       0.0003       0.0001  3.9227
  172       0.0006       0.0142       0.0003       0.0001  3.7568
  173       0.0006       0.0146       0.0003       0.0001  3.7326
  174       0.0006       0.0164       0.0003       0.0001  3.8576
  175       0.0006       0.0155       0.0002       0.0001  3.9403
  176       0.0006       0.0153       0.0002       0.0001  3.8792
  177       0.0006       0.0146       0.0002       0.0001  4.0780
  178       0.0006       0.0145       0.0002       0.0001  3.9121
  179       0.0006       0.0140       0.0002       0.0001  3.7250
  180       0.0006       0.0143       0.0002       0.0001  3.9945
  181       0.0006       0.0143       0.0002       0.0001  3.6760
  182       0.0006       0.0141       0.0002       0.0001  3.9227
  183       0.0006       0.0142       0.0002       0.0001  3.9550
  184       0.0006       0.0155       0.0002       0.0001  4.0399
  185       0.0006       0.0148       0.0002       0.0001  3.7942
  186       0.0006       0.0142       0.0002       0.0001  3.7267
  187       0.0006       0.0135       0.0002       0.0001  3.7037
  188       0.0006       0.0131       0.0002       0.0001  3.7247
  189       0.0006       0.0126       0.0002       0.0001  3.7897
  190       0.0006       0.0128       0.0002       0.0001  3.9760
  191       0.0006       0.0124       0.0002       0.0001  3.8508
  192       0.0006       0.0124       0.0002       0.0001  4.0044
  193       0.0006       0.0122       0.0002       0.0001  3.9089
  194       0.0006       0.0120       0.0002       0.0001  4.1619
  195       0.0006       0.0122       0.0002       0.0001  4.0806
  196       0.0006       0.0121       0.0002       0.0001  3.6234
  197       0.0006       0.0118       0.0002       0.0001  3.8362
  198       0.0006       0.0122       0.0002       0.0001  3.6645
  199       0.0006       0.0120       0.0002       0.0001  3.8149
  200       0.0006       0.0120       0.0002       0.0001  4.0127
  201       0.0006       0.0122       0.0002       0.0001  3.8835
  202       0.0006       0.0118       0.0002       0.0001  3.7708
  203       0.0006       0.0122       0.0002       0.0001  3.8875
  204       0.0006       0.0121       0.0002       0.0001  4.0550
  205       0.0006       0.0121       0.0002       0.0001  4.2945
  206       0.0006       0.0118       0.0002       0.0001  4.1371
  207       0.0006       0.0118       0.0002       0.0001  3.8224
  208       0.0006       0.0116       0.0002       0.0001  4.1020
  209       0.0006       0.0118       0.0002       0.0001  4.8646
  210       0.0006       0.0117       0.0002       0.0001  4.1621
  211       0.0006       0.0114       0.0002       0.0001  4.4282
  212       0.0006       0.0110       0.0002       0.0001  4.1627
  213       0.0006       0.0114       0.0002       0.0001  4.4691
  214       0.0006       0.0110       0.0002       0.0001  4.3058
  215       0.0006       0.0113       0.0002       0.0001  4.6397
  216       0.0006       0.0118       0.0002       0.0001  4.8870
  217       0.0006       0.0120       0.0002       0.0001  4.4992
  218       0.0006       0.0114       0.0002       0.0001  4.5048
  219       0.0006       0.0114       0.0002       0.0001  4.8723
  220       0.0006       0.0113       0.0002       0.0001  4.6880
  221       0.0006       0.0110       0.0002       0.0001  4.5247
  222       0.0006       0.0113       0.0002       0.0001  4.5777
  223       0.0006       0.0113       0.0002       0.0001  4.3798
  224       0.0005       0.0114       0.0002       0.0001  4.6997
  225       0.0005       0.0116       0.0002       0.0001  4.5784
  226       0.0005       0.0115       0.0002       0.0001  4.5366
  227       0.0005       0.0119       0.0002       0.0001  5.0179
  228       0.0005       0.0116       0.0002       0.0001  5.2552
  229       0.0006       0.0118       0.0002       0.0001  5.5011
  230       0.0006       0.0120       0.0002       0.0001  5.6824
  231       0.0006       0.0122       0.0002       0.0001  5.3766
  232       0.0006       0.0119       0.0002       0.0001  5.3584
  233       0.0006       0.0117       0.0002       0.0001  5.6431
  234       0.0006       0.0116       0.0002       0.0001  5.5844
  235       0.0006       0.0113       0.0002       0.0001  5.4512
  236       0.0006       0.0107       0.0002       0.0000  5.7564
  237       0.0005       0.0109       0.0002       0.0001  5.1886
  238       0.0006       0.0111       0.0002       0.0001  5.2749
  239       0.0005       0.0105       0.0002       0.0000  5.1670
  240       0.0005       0.0102       0.0002       0.0000  5.6793
  241       0.0005       0.0100       0.0002       0.0000  5.1810
  242       0.0005       0.0099       0.0002       0.0000  5.6311
  243       0.0005       0.0101       0.0002       0.0000  5.6108
  244       0.0005       0.0098       0.0002       0.0000  5.0289
  245       0.0005       0.0098       0.0002       0.0000  5.1400
  246       0.0005       0.0094       0.0002       0.0000  5.3539
  247       0.0005       0.0099       0.0002       0.0000  5.4766
  248       0.0005       0.0096       0.0002       0.0000  5.3865
  249       0.0005       0.0097       0.0002       0.0000  5.1398
  250       0.0005       0.0096       0.0002       0.0000  5.1832
  251       0.0005       0.0095       0.0002       0.0000  5.3509
  252       0.0005       0.0092       0.0002       0.0000  5.2648
  253       0.0005       0.0093       0.0002       0.0000  5.1606
  254       0.0005       0.0097       0.0001       0.0000  5.7261
  255       0.0005       0.0098       0.0001       0.0000  5.3617
  256       0.0005       0.0099       0.0001       0.0000  5.1237
  257       0.0005       0.0102       0.0001       0.0000  5.4393
  258       0.0005       0.0100       0.0001       0.0000  5.4205
  259       0.0005       0.0101       0.0001       0.0000  4.8956
  260       0.0005       0.0101       0.0001       0.0000  5.3587
  261       0.0005       0.0096       0.0001       0.0000  5.2416
  262       0.0005       0.0095       0.0001       0.0000  5.7349
  263       0.0005       0.0094       0.0001       0.0000  5.3569
  264       0.0005       0.0093       0.0001       0.0000  5.4555
  265       0.0005       0.0089       0.0001       0.0000  5.6435
  266       0.0005       0.0089       0.0001       0.0000  5.4541
  267       0.0005       0.0087       0.0001       0.0000  5.3596
  268       0.0005       0.0088       0.0001       0.0000  5.5342
  269       0.0005       0.0084       0.0001       0.0000  5.5798
  270       0.0005       0.0082       0.0001       0.0000  5.5258
  271       0.0005       0.0081       0.0001       0.0000  5.9099
  272       0.0005       0.0079       0.0001       0.0000  5.6135
  273       0.0005       0.0079       0.0001       0.0000  5.2736
  274       0.0005       0.0081       0.0001       0.0000  5.0420
  275       0.0005       0.0081       0.0001       0.0000  5.0953
  276       0.0005       0.0079       0.0001       0.0000  5.7078
